'',正月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一,十二
望宿月,星宿,翼宿,角宿,氐宿,心宿,箕宿,牛宿,室宿,娄宿,昴宿,觜宿,鬼宿
十二因缘月,行,识,名色,六处,触,受,爱,取,有,生,老死,元明
密典用语,痴,善,超群,龟,水兽,嫠,痣,凿,荣,梦,君,盈
莲花应化,神变,苦行,具香,遍见,作净,明净,具醉,具贤,游戏,持众,庄严,满意
十二律,太簇,夹钟,姑冼,仲吕,蕤宾,林钟,夷则,南吕,无射,应钟,黄钟,大吕
,泰族,,姑显,中吕,瑞宾,,,,亡射,,,
和历,睦月,如月,弥生,卯月,皐月,水无,文月,叶月,长月,神无,霜月,师走
和式,初空,梅见,夜樱,清和,浴兰,蝉羽,凉月,月见,竹醉,时雨,神乐,胧月
,华月,如月,寐月,清和,皋月,旦月,凉月,桂月,玄月,良月,葭月,涂月
,初春,梅见,樱月,花月,早苗,风待,七夕,秋风,菊月,神有（出云地区）,雪待,极月
,年始,雪解,花见,鸟月,雨月,松风,七夜,月见,菊咲,神去,神乐,蜡月
,年端,初花,花咲,花残,橘月,伏月,兰月,木染,夜长,雷元,神归,春待
,太郎,小草生,桃月,清和,菖蒲,常夏,凉月,浓染,小田刈,初霜,雪见,限月
,,木芽,嘉月,得鸟羽,早月,鸣神,文披,红染,红叶,时雨,露隐叶,果月
,,,春惜,夏初,,鸣雷,女郞花,雁来,寝觉,,,亲子
,,,梦见,,,葵月,,,,,,梅初
十二月花,梅,杏,桃,牡丹,蔷薇,荷,紫薇,桂,菊,长寿,兰,水仙
汉月,孟春,仲春,季春,孟夏,仲夏,季春,孟秋,仲秋,季秋,孟冬,仲冬,季冬
中式,首阳,花潮,莺时,乏月,鸣蜩,溽暑,兰秋,桂秋,菊序,飞阴,龙潜,清祀
,首阳,绀香,莺时,槐序,鸣蜩,季夏,兰秋,南宫,菊月,子春,葭月,
